"PdANo","PdNama"
1,"PERLENGKAPAN DOS, TL800"
2,"MAIN PULLEY, TL800 (FINISH PAINT)"
3,COLLAR DIA 22xDIA 17 5x9 TL800
4,"STAND SUB ASSY, TL800"
5,"DIESEL MOUNTING SUB ASSY, TL800/G900B"
6,"HITCH SUB ASSY, TL800"
7,"TENSION ARM SUB ASSY, TL800"
10,"BEARING HOUSING PACKING, TL800"
11,"INTERMEDIATE SHAFT, TL800"
12,"KEY 7-7-70-2R, TL800"
13,"MAIN BEARING HOUSING, TL800"
14,"MAIN BEARING HOUSING PACKING, TL800"
15,"MAIN SPROCKET 25T, TL800"
16,"STOPPER RING, TL800/M1000A"
17,"WASHER LOCK, G600/TL800/M1000A/G550/E85"
18,"BODY COVER PACKING, TL800"
19,"INPUT SHAFT SUB ASSY, TL800"
20,"SPROCKET SUB ASSY, TL800 (SP)"
21,"MAIN SHAFT SUB ASSY, TL800 (SP)"
22,"CHAIN (S) RS 80-34 LINKS, SPRING CLIP (SENQCIA) - TL800 (SP)"
23,"CHAIN (S) RS 80-34 LINKS ""EK"" (SPRING CLIP) TL800 (SP)"
24,"CHAIN (S) RS 80-32 LINKS, SPRING CLIP (SENQCIA) - TL800 (SP)"
25,"CHAIN (S) RS 80-32 LINKS ""EK"" (SPRING CLIP) TL800 (SP)"
26,"TENSION SHAFT, TL800/G900B"
27,"TENSION PULLEY ASSY, TL800/G900B"
29,WHEEL HOLDER TL800 LB. 4
30,"HANDLE BAR SUB ASSY, TL800"
31,"TENSION ROD ASSY, TL800 (FINISHED YELLOW PLATING)"
32,"THROTTLE CABLE ASSY, G900B/TL800"
33,"LEVELER HEAD, TL800"
34,Traktor G1000 X RD 85 DI - 2S/ STD/ 35 (KIT)
35,"PERLENGKAPAN DOS V-80, G1000"
36,"STAND SUB ASSY, G1000/M1000A (SP)"
37,"DIESEL MOUNTING SUB ASSY, G1000 (SP)"
38,"MOUNTING BOLT SET, ALL TYPE"
39,V-BELT SUPPORT SUB ASSY G1000 (YELLOW VERZINC)
40,"TENSION ARM SUB ASSY, G1000"
41,"TENSION ARM SEAT SUB ASSY, G1000"
42,"FRONTSIDE FRAME ASSY, G1000"
43,"TENSION PULLEY ASSY, G1000/M1000A/E85/G600"
45,"TENSION SHAFT, G1000/M1000A/E85/G550/G600 (SP)"
46,"TENSION PULLEY PLUG, ALL TYPE"
47,"STOPPER PLATE, ALL TYPE"
48,"KEY 7-7-39-R, G1000"
49,"GEAR CASE (L), G1000"
50,"GEAR CASE PACKING, G1000/G3000"
51,"INPUT BEARING HOUSING, G1000"
52,"INPUT BEARING HOUSING PACKING, G1000/G3000/S1000"
53,"SPROCKET 11 T, G1000/BOXER/ZEVA"
54,"KEY 7-7-28 2R, G1000"
55,"BEARING COVER PACKING, G1000/G3000/BOXER/ZEVA/KIJANG"
56,"COUPLING SHAFT, G1000/S1000/G3000/BOXER"
57,"CLUTCH SPRING (R), G1000/S1000/G3000/BOXER/ZEVA"
58,"CLUTCH SPRING (L), G1000/S1000/G3000/BOXER/ZEVA"
59,"STEERING GEAR, G1000/G3000/BOXER/ZEVA (SP)"
60,"STOPPER RING, G1000/S1000/G3000/BOXER/ZEVA"
61,"INTERMEDIATE SHAFT, G1000/S1000/G3000/BOXER/ZEVA"
62,"SPROCKET 30 T, G1000/S1000/G3000/BOXER/ZEVA (SP)"
63,"GEAR 15 T, G1000/S1000/G3000/BOXER/ZEVA (SP)"
64,"GEAR 46 T, G1000/S1000/G3000/BOXER/ZEVA"
65,"INTERMEDIATE BUSH DIA. 30X33, M1000A/S1000/G1000/G3000"
66,"MAIN BEARING HOUSING, G1000"
67,"MAIN BEARING HOUSING PACKING, G1000"
68,"MAIN COLLAR 48.3 X 72, G1000/M1000A/S1000/BOXER/ZEVA"
69,"GEAR 40 T, G1000/G3000 (SP)"
70,"MAIN COLLAR 50.8 X 66, G1000/G3000"
71,"TOP COVER, G1000 (SP)"
72,"DRAIN PLUG PACKING, ALL TYPE"
73,"OIL CAP, G1000"
74,"SHIFTING FORK BUSH, G1000 (SP)"
75,"SHIFTING FORK BUSH PACKING, G1000/G3000"
76,"SHIFTING LEVER, G1000 (SP)"
77,"SHIFTING LEVER PIN, ALL TYPE"
78,"O-RING D=16 D=2, G1000/M1000A/S1000/E85/G550"
79,DOWEL PIN 6M6
80,"GEAR CASE (R), G1000"
81,"INPUT SHAFT BOLT, G1000"
82,"MAIN SHAFT SUB ASSY, G1000 (SP)"
83,"CHAIN (S) RS 50-42 LINKS, ""SENQCIA"" (ENDLESS), G1000 (SP)"
84,"SHIFTING FORK SUB ASSY (NEW DESIGN), G1000 (SP)"
85,"HITCH (1) SUB ASSY, G1000 (SP)"
86,"HITCH RING, G1000/S1000/M1000A (SP)"
87,"HITCH PIN SUB ASSY, G1000/M1000A (SP)"
88,Quick Hitch II G 1000
89,"TENSION HANDLE SPRING, ALL TYPE"
90,"HANDLE BAR, G1000"
91,"GRIP HANDLE, ALL TYPE"
92,"HEAD OF HANDLE BAR SUB ASSY, G1000"
93,"MAIN PIPE SUB ASSY (L), G1000"
94,"TENSION HANDLE HOUSING PLATE, G1000"
95,"MAIN PIPE SUB ASSY (R), G 1000 (G BZ)"
96,"HANDLE SUB ASSY, G1000"
97,"SHIFTING ROD (BLACK DOFF), G1000 (SP)"
98,"STEERING LINKAGE - Y, G1000"
100,"STEERING LINKAGE SET (LAMA), G1000/S1000"
101,"CLUTCH ROD ASSY (BLACK DOFF), G1000 (SP)"
